angol	magyar	felvetel	helyes	helytelen
sewing	varrás	2003.06.25	114	6
fantastic	képzelt	2004.04.20	136	22
torpidity	renyheség	2004.09.04	94	16
whereabouts	szándék	2003.01.09	156	15
simulator	szimulátor	2005.04.01	129	18
leastwise	mindenesetre	2002.12.24	140	7
delve	mélyedés	2005.09.24	116	29
payment	fizetés	2005.10.17	42	5
loam	vályog	2003.10.26	134	17
flouter	csúfolódó	2005.05.08	113	1
ablation	lehordás	2004.01.06	155	22
sweep	kanyarulat	2005.05.01	86	24
rating	beosztás	2005.01.30	69	21
cryogenic	kriogén	2004.04.23	95	16
crook	kanyarulat	2003.07.17	117	6
alcohol	alkohol	2004.08.05	51	25
grained	erezett	2004.07.21	83	5
devotion	önfeláldozás	2004.12.28	140	16
shift	váltakozás	2004.03.19	129	6
coat	kosztümkabát	2002.11.26	92	6
granddad	nagypapi	2004.07.01	52	10
newness	éretlenség	2003.03.30	149	15
sanctimonious	kenetteljes	2002.12.25	62	15
aloof	tartózkodó	2004.05.25	59	19
avalanche	lavina	2005.10.18	93	6
swap!	bumm!	2003.05.11	64	13
trouncing	eldöngetés	2004.11.19	115	7
prodigy	csoda	2002.11.22	151	25
feverishly	hevesen	2002.11.25	122	20
schism	hitszakadás	2005.01.20	129	25
propagandist	propagandista	2004.04.06	104	8
pompous	dagályos	2004.08.20	152	7
bustle	tolongás	2004.07.18	84	28
calling	hivatottság	2002.12.07	62	27
trim	borítás	2005.06.17	147	18
Episcopal	püspöki	2005.08.01	102	2
tristfulness	bánatosság	2003.04.30	137	29
shelving	polcok	2005.12.01	136	17
solitary	remete	2004.10.16	132	15
cabinet	kormány	2004.04.17	52	9
fixity	szilárdság	2004.06.09	131	24
tetanus	merevgörcs	2003.04.22	150	10
loop	karika	2004.09.23	120	20
rank	büdös	2003.05.09	70	1
common	mindennapos	2005.06.17	108	29
grating	alaprács	2003.01.27	118	1
streak	vonal	2005.08.13	159	10
lambent	ragyogó	2002.12.23	150	14
dehydration	dehidrálás	2005.10.04	44	4
finishing	bevégzés	2004.09.11	81	1
unvarying	állandó	2005.05.26	64	2
adverse	ellenséges	2002.12.09	114	7
information	tájékoztatás	2005.02.15	153	17
skittle	tekebábu	2005.07.30	145	9
stark	meredt	2004.05.30	124	11
finale	befejezés	2004.04.20	129	27
sheik	sejk	2004.01.25	83	16
acquisition	szerzés	2004.02.15	121	22
lighting	gyújtás	2005.02.23	153	3
rigidly	mereven	2003.03.16	90	13
projection	kiszögellés	2003.05.03	91	17
disharmony	disszonancia	2003.08.16	136	15
sleazebag	mocsok	2005.10.27	72	22
run	vonulás	2003.04.06	90	11
shrewdly	élesen	2003.09.22	102	18
hygiene	egészségügy	2004.08.15	101	17
teletype	telexgép	2003.02.01	44	0
aquatic	vízi	2003.12.24	151	19
collapsible	összecsukható	2003.10.15	138	6
load	súly	2004.03.04	57	0
check	kipipálás	2005.08.11	128	22
broach	gyökérfúró	2003.04.23	155	16
agility	gyorsaság	2004.02.09	121	10
glazed	simított	2005.03.04	85	27
offset	üzemszünetelés	2005.11.19	117	4
land	szárazföld	2005.07.22	124	28
whirl	pergés	2004.12.22	101	0
retrieval	visszakeresés	2003.02.21	50	29
spile	karó	2002.11.07	126	8
damned	átkozott	2004.01.03	61	4
shrink	visszahúzódás	2002.12.03	64	1
go	kísérlet	2003.11.29	99	2
venous	vénás	2004.09.26	86	25
calorimetry	kalorimetria	2005.01.25	42	14
token	zseton	2005.10.19	94	20
mendacity	hazudozás	2003.09.19	76	7
choking	eldugulás	2005.06.16	142	10
muss	rendetlenség	2004.06.12	44	1
venial	jelentéktelen	2003.09.23	119	4
amnesty	amnesztia	2003.09.13	108	27
sonority	hangzás	2004.02.15	70	7
discreet	diszkrét	2004.06.17	66	23
incongruence	képtelenség	2003.04.26	155	29
commune	kommuna	2003.02.05	84	2
viperine	álnok	2004.10.01	72	4
immovable	szenvtelen	2004.03.11	118	21
spacious	tágas	2005.07.12	96	24
inchoation	kezdeményezés	2003.03.14	150	24
incentive	ösztönzés	2005.06.27	85	3
head	térnyerés	2003.10.04	141	1
hoist	felhúzás	2004.10.26	77	26
hooked	kampós	2005.06.06	147	13
wheelchair	tolószék	2004.12.12	137	17
finish	simaság	2005.02.28	144	18
fancy	ábránd	2003.09.08	67	23
supposition	feltevés	2003.04.17	92	24
battle	csata	2005.03.26	158	28
sweaty	fárasztó	2004.03.04	89	19
rascality	alávalóság	2004.03.25	117	2
hutch	ketrec	2005.01.15	155	20
effectively	eredményesen	2003.12.06	110	14
blessed	szent	2003.08.04	95	7
marshal	udvarmester	2003.08.12	75	22
whereas	amíg	2003.12.25	69	21
glumly	komoran	2005.03.05	129	19
deceit	csalárdság	2004.03.17	122	13
imprecation	elátkozás	2004.12.31	157	3
substrate	anyag	2004.01.25	105	4
pivot	iránytartó	2003.04.01	122	8
damper	hangfogó	2003.08.12	94	9
graffiti	falfirka	2005.07.06	103	22
incompatible	összeegyezhetetlen	2005.03.02	47	22
bursting	elszakítás	2005.10.14	97	1
banister	korlátbáb	2002.12.15	120	26
fishy	gyanús	2003.04.24	86	23
insert	melléklet	2003.11.19	145	16
salubrity	egészségesség	2004.08.04	57	11
opiate	kábítószer	2002.11.16	132	8
notched	csipkés	2003.04.17	51	10
prebendal	kanonoki	2005.05.29	135	26
score	gondolatjel	2004.03.14	40	22
esquire	úr	2004.07.13	137	1
bowels	belek	2005.09.01	42	5
convergent	konvergens	2003.07.19	156	1
exploration	kutatás	2004.10.27	82	23
pewter	ónedény	2005.11.12	126	0
blind	vak	2005.12.01	131	28
fillip	fricska	2005.07.10	106	26
argumentative	bebizonyítható	2005.10.03	84	0
soup	nitroglicerin	2003.01.05	130	10
uppermost	legmagasabb	2005.08.09	76	20
choppy	fodrozódó	2003.03.05	126	28
split	szakadás	2005.08.06	101	4
scope	oszcilloszkóp	2003.10.07	144	3
bleak	sivár	2005.11.08	90	18
posture	póz	2005.01.23	154	11
nonconformist	nonkonformista	2003.09.23	158	29
reprehension	megrovás	2004.09.11	112	12
cistern	vécétartály	2003.11.12	45	26
butterfly	pillangóúszás	2004.01.02	117	0
subservience	támogatás	2004.10.11	87	25
watertight	vízmentes	2004.03.04	72	16
certainly!	természetesen!	2003.02.19	69	1
matte	matt	2003.11.13	53	18
bickering	pörlekedés	2005.08.02	118	17
activity	ténykedés	2004.10.07	85	16
false	pontatlan	2005.08.20	103	15
work	elfoglaltság	2004.02.20	109	2
spoor	szag	2004.12.13	67	11
yowl	nyivákolás	2003.01.31	88	8
promenade	sétakocsikázás	2004.12.17	126	3
pretty	nagyon	2003.12.12	74	6
bilge	fenékvíz	2004.03.15	58	3
ponderousness	nehézség	2003.08.14	111	16
variance	ellentmondás	2004.06.18	63	12
abstract	kivonat	2003.09.14	156	13
point	csattanó	2005.07.10	133	3
spectacled	szemüveges	2004.10.08	104	12
chip	csorbulás	2003.07.23	109	26
ruefulness	bánatosság	2003.02.09	84	13
hall	hall	2004.11.24	40	4
that	aki	2004.03.16	153	24
conflict	viszály	2003.05.31	47	27
matchbox	gyufásdoboz	2003.02.03	72	1
petrifaction	kövület	2003.11.30	144	14
unbelieving	hitetlen	2003.06.21	105	3
cadet	gyakornok	2003.08.08	94	23
proper	jellegzetes	2004.09.11	147	11
youthful	fiatalkori	2003.10.14	108	22
coony	dörzsölt	2003.11.21	79	24
calm	szenvtelen	2005.10.19	111	24
plaudits	tapsorkán	2003.02.04	86	19
null	értéktelen	2005.05.27	141	19
command	utasítás	2004.04.25	126	28
perturbation	zavarkeltés	2003.09.29	64	25
scratch	horzsolás	2005.08.08	71	23
unstained	mocsoktalan	2002.12.16	56	4
slipstream	légcsavarsugár	2005.02.09	135	20
attach	kapcsolat	2003.05.06	145	15
doleful	szomorú	2004.06.12	50	29
whatever	bármi	2004.09.21	47	17
strength	tartósság	2005.02.15	117	24
incompetence	illetéktelenség	2004.07.10	117	5
atonality	hangnemnélküliség	2004.04.26	146	28
axiomatic	természetes	2004.10.27	143	18
conformation	alakzat	2003.01.08	138	1
unfortunate	szerencsétlen	2005.06.15	127	8
shift	ürügy	2003.02.24	151	25
posteriorly	utólagosan	2004.08.11	149	12
ruling	rendelkezés	2003.10.23	133	28
cutting	bujtóág	2005.04.12	152	6
recompense	elégtétel	2004.07.15	96	8
haze	köd	2002.12.28	53	5
representative	tipikus	2003.06.22	67	6
fulminatory	lesújtó	2003.05.11	140	17
perishing	átkozottul	2002.11.24	94	4
gossiping	anekdotázó	2004.06.21	47	0
sicko	elmebeteg	2004.10.07	117	0
Zion	mennyország	2005.02.20	100	26
extract	szemelvény	2004.08.24	75	23
chirping	ciripelés	2003.07.03	104	23
deliberate	megfontolt	2004.09.19	67	6
disillusionment	csalódás	2003.03.31	156	23
hoarse	rekedt	2003.09.10	89	4
inconsequent	logikátlan	2005.08.07	63	10
depressive	lehangoló	2003.09.13	56	2
antique	ódon	2003.11.27	60	26
tetrahedral	tetraéderes	2005.10.06	117	3
jarring	vibráló	2005.04.10	84	6
superposition	rárakás	2003.01.01	83	17
blaze	tündöklés	2004.12.15	158	29
sign	felirat	2004.01.02	107	7
too	túlságosan	2004.06.27	151	7
allusion	hivatkozás	2004.09.16	54	13
privily	titokban	2004.03.29	41	8
fructification	gyümölcs	2005.08.16	89	23
cohort	hadsereg	2004.02.24	104	8
devise	végrendelkezés	2005.09.13	55	0
journalism	újságírás	2003.11.06	105	29
buttery	éléskamra	2005.04.09	159	18
contraband	csempészet	2004.08.01	83	23
crematory	halotthamvasztó	2005.02.28	139	20
sensible	érzékeny	2004.06.23	144	5
Scottish	skót	2003.09.30	64	11
capital	lényeges	2005.09.21	130	11
payroll	bérlista	2005.02.06	134	19
item	pont	2005.05.09	106	17
grandstand	tribün	2003.09.18	131	2
journeyer	utazó	2003.01.24	138	15
loft	lombozat	2005.08.28	92	18
propellant	üzemanyag	2002.12.27	97	0
technical	ipari	2005.06.18	104	10
watch	zsebóra	2005.04.22	157	5
dedicatory	ajánló	2004.08.03	51	11
thence	azóta	2005.09.19	93	0
disallowance	tiltás	2004.12.01	111	13
acute	eszes	2003.10.06	102	24
scroll	papírtekercs	2002.12.25	44	19
behavior	magaviselet	2005.11.03	108	18
audit	könyvvizsgálat	2002.12.27	151	5
fight	harc	2003.03.05	129	14
contracted	összezsugorodott	2004.08.16	53	28
valour	vitézség	2003.12.14	51	12
inflation	felfújás	2003.10.16	142	7
darkey	néger	2005.09.22	152	0
counterfeiter	szimuláns	2005.08.11	102	13
inchoate	befejezetlen	2003.02.07	73	12
range	irány	2003.10.05	84	7
embossing	vaknyomás	2003.06.08	121	5
hurricane	forgószél	2003.05.26	42	2
band	zóna	2003.08.12	92	20
shifting	eltolás	2004.08.27	152	26
rush	tülekedés	2004.06.06	43	15
hairy	ciki	2005.10.17	127	26
elongation	toldás	2003.11.24	115	16
figment	koholmány	2003.09.24	65	4
shadow	oltalom	2003.01.18	142	19
services	szolgáltatások	2004.06.12	87	17
bike	bicaj	2003.07.07	52	21
proclamation	kiáltvány	2004.05.17	139	8
portent	csodajel	2004.01.25	80	18
strapping	sebkötés	2005.12.04	66	13
matt	fénytelen	2004.12.18	62	3
tank	ciszterna	2005.06.09	61	12
rolling	dörgés	2005.10.06	44	20
wampum	pénz	2003.09.05	52	4
inquest	nyomozás	2004.11.23	139	25
manageableness	irányíthatóság	2005.02.23	75	13
damnable	pocsék	2005.05.18	80	22
unfailing	kimeríthetetlen	2005.01.03	143	17
round	kör	2004.06.09	94	13
collateral	oldalági	2005.05.23	85	7
woolly	elmosódó	2005.12.03	71	0
reach	hordtávolság	2004.08.06	46	5
examination	vizsga	2003.05.20	60	27
dinky	pinduri	2003.05.17	128	23
stale	állott	2003.03.01	121	14
wizened	ráncos	2003.11.09	57	2
movie	film	2005.08.31	127	26
excerpt	kivonat	2002.11.26	110	25
projection	hajítás	2003.06.25	43	20
tree	kaptafa	2004.07.21	99	4
frumpish	házsártos	2005.10.27	93	14
full	telt	2004.11.17	91	2
elegy	gyászdal	2004.12.14	72	13
mishap	szerencsétlenség	2003.05.24	40	22
tenet	tantétel	2002.12.06	107	21
elater	pattanóbogár	2004.04.02	97	17
preoccupation	belefeledkezés	2005.06.02	118	7
horn	tülök	2003.12.10	107	20
immunity	mentesség	2004.05.09	149	13
dusty	szürke	2004.06.30	159	7
timid	bátortalan	2004.06.19	77	7
fester	gennyedés	2004.02.25	40	15
degasification	legázosítás	2003.01.14	86	7
corporation	vállalat	2004.02.14	155	27
rigger	árbocmester	2003.10.02	40	25
tail	hátsórész	2002.11.13	131	3
retraction	behúzás	2004.09.16	115	5
libel	becsületsértés	2004.07.12	74	9
in	szerint	2004.05.26	47	14
supernumerary	statiszta	2004.04.18	141	24
subtitle	alcím	2004.07.30	61	7
messy	mocskoló	2004.05.14	96	5
veil	függöny	2005.01.06	57	11
dub	ütés	2003.04.21	151	17
heaving	emelkedés	2003.11.08	87	1
phylum	nyelvcsalád	2005.09.13	83	8
tow	szösz	2004.02.12	60	15
faint	eszméletvesztés	2005.02.25	83	22
denomination	elnevezés	2003.04.15	82	18
sheltered	védett	2003.02.10	137	7
tommyrot	hülyeség	2004.09.24	81	15
slander	becsületsértés	2003.06.18	87	18
statement	közlés	2004.01.23	66	27
sheep	málészájú	2004.09.19	45	19
slab	tábla	2003.07.03	87	23
associate	munkatárs	2005.09.17	156	23
description	leírás	2003.03.24	93	18
dry	terméketlen	2003.06.16	106	14
plum	szilvafa	2005.05.20	139	0
remainder	remittenda	2003.04.26	63	20
icing	cukorbevonat	2003.05.09	127	24
whoop!	hé!	2003.08.10	46	7
sucker	lopótök	2005.09.10	103	6
can	konzerv	2004.03.11	63	13
nice	barátságos	2003.11.05	59	28
canyon	kanyon	2004.03.01	42	8
phrases	frázis	2004.04.23	87	3
cheek	arc	2003.06.11	48	13
bother	zaklatás	2004.02.04	105	8
stodgy	laktató	2005.07.23	48	2
unbiased	tárgyilagos	2003.04.30	56	24
gelation	megfagyás	2003.12.14	154	25
dash	húzás	2003.04.15	104	4
drift	örvénylés	2005.07.17	91	5
hooter	orr	2004.11.27	142	6
reality	realitás	2003.09.05	73	13
foldaway	felhajtható	2004.06.19	154	15
label	címke	2005.11.13	55	27
convection	áramvezetés	2005.11.05	90	27
draw	kasszadarab	2004.01.06	52	5
tingle	csengés	2003.01.20	65	11
empty	üres	2005.07.10	146	7
searcher	vámvizsgáló	2005.10.18	148	5
stuffy	áporodott	2005.05.04	141	24
scuttle	szeneskanna	2005.02.06	135	28
rotundity	gömbölydedség	2002.11.29	52	15
makeup	kárpótlás	2005.08.26	158	9
gulch	szakadék	2005.10.07	57	28
mothball	molyirtó	2002.12.10	123	27
brutality	érzéketlenség	2005.09.16	99	27
cuff	karmantyú	2003.04.12	150	14
rum	különös	2003.12.17	53	13
critical	kritikai	2005.08.06	141	24
fixed	rögzített	2004.07.11	65	3
jar	megrázkódtatás	2004.10.20	40	7
dolor	bú	2004.05.19	143	3
sludge	salak	2004.12.10	62	5
bushwhacker	mucsai	2005.09.16	133	4
trim	kiegyensúlyozás	2003.02.02	146	2
misgiving	gyanakvó	2004.08.16	91	14
jig	dzsigg	2004.12.28	64	23
sideboards	barkó	2005.04.30	100	21
recrimination	visszavágás	2003.08.12	147	13
leaving	elhagyás	2004.01.31	122	26
handful	maroknyi	2003.02.17	75	4
string	szénzsinór	2005.03.12	88	5
dumbshit	ostoba	2005.06.03	101	3
inability	képtelenség	2005.10.14	97	23
perfidy	álnokság	2004.07.16	76	19
pep	élet	2005.02.18	65	25
taunt	gúny	2004.04.18	115	11
outfit	csapat	2004.09.13	131	7
squash	pép	2003.04.23	75	13
glen	szurdok	2003.03.30	62	3
recovery	felgyógyulás	2005.09.29	44	14
torch	elemlámpa	2003.06.04	85	28
rhombohedral	romboéderes	2002.12.26	86	8
root	ideggyök	2004.11.26	152	15
dart	szökellés	2004.12.13	80	20
nightshade	nadragulya	2005.02.22	144	12
degree	fok	2003.03.22	59	22
cole	szélhámosság	2003.08.06	126	21
stuffed	töltött	2005.06.23	68	26
afterwards	azután	2004.08.22	154	3
Satanism	ördögiesség	2004.12.12	125	18
expiration	kilehelés	2004.03.12	78	20
monstrous	rettenetes	2004.03.14	123	17
culpability	vétkesség	2003.11.18	124	2
standing	helyzet	2004.06.23	54	11
quarter	félév	2003.01.30	60	21
fated	kijelölt	2005.10.07	112	24
insatiable	telhetetlen	2005.02.17	101	25
proven	bizonyított	2005.01.10	92	12
stutter	hebegés	2003.07.24	99	19
fee	fizetés	2003.11.11	111	16
bobble	hiba	2004.03.17	143	4
tarnish	folt	2004.07.19	56	2
subsidiary	mellékes	2005.09.30	149	8
purging	tisztítás	2005.10.21	146	3
body	hulla	2004.07.03	155	25
fell	könyörtelen	2002.11.25	109	25
hideaway	rejtekhely	2003.02.17	62	20
embezzlement	elsikkasztás	2003.10.03	49	23
joyfully	vidáman	2003.02.09	53	23
fire	hév	2005.10.14	111	9
dirty	csúnya	2003.05.10	140	2
temperament	kedély	2004.04.22	128	10
coincident	egybevágó	2004.02.02	100	1
confirmed	megrögzött	2004.04.03	43	18
dubious	bizonytalan	2004.02.02	59	17
shuffle	ürügy	2002.12.07	131	18
innocent	ártatlan	2005.05.01	52	19
combat	harc	2003.02.06	139	13
necessary	életszükségletek	2004.04.10	135	29
cutback	csökkentés	2003.02.22	92	23
rive	part	2002.11.04	86	23
stable	tartós	2002.12.25	126	22
waves	ár	2004.05.21	59	4
indoctrination	kioktatás	2005.04.16	73	4
doomsayer	vészmadár	2003.12.12	118	28
continuity	forgatókönyv	2003.05.26	93	13
dissimilatory	disszimilációs	2004.07.18	53	11
downright	egyenesen	2005.02.17	105	11
fastening	gombolás	2003.02.27	113	4
roadside	padka	2004.03.07	118	11
revolting	undorító	2003.01.26	154	23
properly	helyesen	2004.05.08	110	11
arabesque	különös	2003.11.25	81	24
misbegotten	korcs	2003.03.28	142	24
chop	bordaszelet	2004.05.04	52	22
smart	szenvedés	2004.09.28	120	13
brashly	tapintatlanul	2004.11.02	55	26
beleaguerer	ostromló	2003.11.21	73	3
incontestable	megcáfolhatatlan	2002.11.23	123	29
greed	pénzsóvárság	2003.07.09	117	9
favor	szívesség	2005.09.01	56	15
tiptoe	lábujjhegy	2005.06.11	67	8
unchecked	akadályozatlan	2004.03.18	122	0
prosaically	prózaian	2005.02.18	55	4
plating	fémbevonás	2004.05.09	142	10
jet	locsolófej	2005.09.16	118	17
puzzlement	nyugtalanság	2002.12.04	62	5
plunger	búvárdugattyú	2003.08.17	133	19
stripping	öntvénykibontás	2003.08.13	50	6
appreciation	értékelés	2002.11.30	94	13
lee	szélárnyék	2005.03.16	93	15
obscurity	homály	2004.01.01	48	20
ceaseless	szakadatlan	2005.10.16	151	4
squawk	lamentálás	2004.08.05	151	16
narrowly	szigorúan	2003.01.15	143	3
warp	elgörbülés	2004.07.13	78	28
obliteration	megsemmisítés	2004.02.07	130	25
delegate	meghatalmazott	2002.12.01	125	9
privately	bizalmasan	2005.03.19	140	26
suspension	függés	2005.10.01	150	26
surfeit	túlterheltség	2004.08.20	144	27
barytone	baritonista	2003.08.19	109	7
traverse	ellenkezés	2005.04.13	120	27
unskilled	gyakorlatlan	2005.06.13	72	2
repining	sopánkodó	2002.12.23	41	16
exultant	diadalittas	2004.03.15	70	10
capon	kappan	2003.09.11	84	22
messy	bepiszkoló	2005.02.01	104	17
imaginary	elképzelt	2005.10.04	46	19
hiker	kiránduló	2004.12.25	51	10
tropical	trópusi	2005.05.15	76	22
peripheral	periferikus	2003.06.28	121	28
djinn	dzsinn	2004.02.25	123	6
gentle	nemes	2004.08.29	135	24
medic	medikus	2003.06.27	56	16
foil	ellentét	2005.07.19	43	3
sick	levert	2004.10.05	89	8
crinkly	göndör	2003.07.28	91	29
hold	börtön	2005.01.17	72	19
nuptial	lakodalmas	2004.11.22	125	28
fit	görcs	2003.06.27	68	24
supposed	feltételezett	2004.01.01	133	11
memorials	emlékezések	2002.11.05	128	1
clear	biztos	2003.11.28	75	24
necessary	életszükséglet	2004.04.13	113	6
score	bemetszés	2003.11.04	109	4
extemporaneous	hevenyészett	2003.05.27	105	21
port	portói	2004.02.10	40	10
truce	fegyverszünet	2005.05.19	158	1
frowzy	áporodott	2003.01.15	129	10
zenith	zenit	2002.12.10	80	8
double	kettesben	2003.03.04	105	23
weeviled	zsizsikes	2005.08.08	81	28
neglect	gondatlanság	2004.07.06	62	8
uncovered	fedetlen	2003.03.14	148	0
orbit	pálya	2002.11.10	144	18
track	menetvonal	2003.02.02	130	11
ailment	betegség	2003.09.21	141	21
receiver	orgazda	2005.10.15	43	5
toward	közel	2003.11.16	123	20
lancet	szike	2003.01.05	130	13
timid	elfutó	2005.03.10	112	4
divine	isteni	2003.04.24	158	25
setting	felállítás	2003.10.28	145	3
globe	glóbusz	2003.03.10	65	15
blithely	frissen	2005.02.18	102	13
slowly	lassan	2002.11.07	100	23
piercingly	élesen	2003.07.13	81	28
glint	villogás	2005.05.03	123	20
tribulation	bánat	2005.01.07	159	20
vet	veterán	2005.08.03	96	18
righteousness	tisztesség	2005.09.05	81	25
duet	duett	2005.05.26	104	5
cushion	díszpárna	2003.04.09	156	5
shrubbery	bozót	2005.09.17	105	28
liquefaction	elfolyósítás	2004.06.06	155	28
tryout	kipróbálás	2002.11.28	140	2
greeting	üdvözlés	2005.02.10	53	8
succulence	levesesség	2003.10.04	120	26
reassurance	megnyugtatás	2003.07.24	140	0
analogous	rokon	2003.12.23	70	24
drab	örömtelen	2005.11.01	85	24
subdivision	parcellázás	2004.04.07	153	29
importation	behozatal	2005.07.24	110	22
grizzle	nyafogás	2005.07.29	46	1
mockery	majmolás	2003.12.22	147	14
improper	ízléstelen	2003.06.17	43	18
rover	öregcserkész	2003.12.08	100	20
tackle	hozzávaló	2005.11.04	138	16
sense	érzék	2004.07.27	106	7
fall	tönkrejutás	2005.07.22	110	27
futilely	eredménytelenül	2003.10.08	133	15
acutely	eszesen	2005.06.24	142	4
relay	sugárzás	2004.04.29	158	3
ruefulness	megbánás	2005.05.21	120	0
spur	ösztönzés	2003.11.27	79	20
fantastic	fantasztikus	2003.11.02	40	3
bolt	futás	2003.05.31	122	22
turnout	felszerelés	2003.01.23	135	17
aberrant	eltévelyedett	2005.10.24	149	25
shanty	csapszék	2004.11.21	75	7
relaxation	feszültségmentesítés	2005.07.22	77	14
hull	burok	2003.08.16	63	19
unforgiving	engesztelhetetlen	2005.01.14	70	24
jitter	vizsgaláz	2003.05.06	43	11
immediately	mihelyt	2005.01.23	159	0
cool	hideg	2005.02.07	72	29
flossy	cicababa	2002.12.30	93	24
square	egyenesen	2003.11.27	126	12
concededly	megengedve	2005.08.12	93	13
turning	kifordítás	2005.04.12	137	7
inmate	lakó	2004.04.19	143	24
undignified	nevetséges	2004.01.13	41	1
miff	bosszúság	2005.04.25	110	23
imperturbable	rendíthetetlen	2003.11.30	111	22
alpine	alpesi	2004.01.26	96	25
scale	skála	2005.02.01	49	7
evolutionary	evolúciós	2004.04.29	119	18
