név;város;ország;magasság;emelet;épült
Torre de Cristal;Madrid;Spanyolország;249,5;45;2007
Torre de Madrid;Madrid;Spanyolország;142;37;1957
Torre Espacio;Madrid;Spanyolország;224;57;2008
Torre Mapfre;Barcelona;Spanyolország;154;40;1992
Torre Picasso;Madrid;Spanyolország;156;43;1988
Torre PwC;Madrid;Spanyolország;236;52;2008
Torre Sacyr Vallehermoso;Madrid;Spanyolország;236;52;2007
Tour Adria;Párizs;Franciaország;155;40;2002
Tour Alicante;Párizs;Franciaország;167;37;1995
Tour Areva;Párizs;Franciaország;184;44;1974
Tour Ariane;Párizs;Franciaország;152;36;1975
Tour Assur (AXA);Párizs;Franciaország;159;39;1974
Tour CBX;Párizs;Franciaország;142;36;2005
Tour Chassagne;Párizs;Franciaország;167;37;1995
Tour de Bretagne;Nantes;Franciaország;144;32;1976
Tour du Crédit Lyonnais;Lyon;Franciaország;165;42;1977
Tour du Midi;Brüsszel;Belgium;150;38;1967
Tour EDF;Párizs;Franciaország;165;41;2001
Tour Egée;Párizs;Franciaország;155;40;1999
Tour First;Párizs;Franciaország;231;50;2011
Tour Gan;Párizs;Franciaország;179;44;1974
Tour Granite;Párizs;Franciaország;183;36;2008
Tour Montparnasse;Párizs;Franciaország;210;59;1972
Tour T1;Párizs;Franciaország;185;36;2008
Tour Total;Párizs;Franciaország;187;48;1985
Tour Pleyel;Párizs;Franciaország;143;37;1972
Tower 42;London;Nagy-Britannia;183;43;1980
Trianon;Frankfurt;Németország;186;45;1993
Triumph-Palace;Moszkva;Oroszország;264,1;57;2005
Turning Torso;Malmö;Svédország;190;57;2005
Ušće Tower;Belgrád;Szerbia;141,1;24;2004
Warsaw Financial Center[13];Varsó;Lengyelország;144;35;1999
Warsaw Trade Tower;Varsó;Lengyelország;208;43;1999
West Tower;Liverpool;Nagy-Britannia;140;40;2007
Westendstraße 1;Frankfurt;Németország;208;53;1993
Westpoint Tower;Tilburg;Hollandia;142;48;2004
